,tasso_bce,tasso_ottimale,deviazione
2013-11-01,0.0,2.0668807774491613,-2.0668807774491613
2013-12-01,0.0,2.0210947674981288,-2.0210947674981288
2014-01-01,0.0,2.088150174454953,-2.088150174454953
2014-02-01,0.0,1.958428421757633,-1.958428421757633
2014-03-01,0.0,1.5473619473404339,-1.5473619473404339
2014-04-01,0.0,1.9799058515371764,-1.9799058515371764
2014-05-01,0.0,1.593911554255223,-1.593911554255223
2014-06-01,-0.1,1.534964891798925,-1.634964891798925
2014-07-01,-0.1,1.5472227845921913,-1.6472227845921914
2014-08-01,-0.1,1.463690960119534,-1.5636909601195341
2014-09-01,-0.2,1.3373555089260725,-1.5373555089260724
2014-10-01,-0.2,1.533787450420944,-1.733787450420944
2014-11-01,-0.2,1.3282744004295297,-1.5282744004295297
2014-12-01,-0.2,0.5784357727193721,-0.778435772719372
2015-01-01,-0.2,0.23169287576391398,-0.431692875763914
2015-02-01,-0.2,0.6057097013156564,-0.8057097013156564
2015-03-01,-0.2,0.8788220002695185,-1.0788220002695186
2015-04-01,-0.2,1.413837849841926,-1.613837849841926
2015-05-01,-0.2,1.930406605498005,-2.130406605498005
2015-06-01,-0.2,1.6924143445756796,-1.8924143445756796
2015-07-01,-0.2,1.8833393906653528,-2.083339390665353
2015-08-01,-0.2,1.6225942507844227,-1.8225942507844226
2015-09-01,-0.2,1.205534012034832,-1.4055340120348319
2015-10-01,-0.2,1.6374619657058702,-1.8374619657058702
2015-11-01,-0.2,1.1826878540973302,-1.3826878540973302
2015-12-01,-0.3,1.2483740266847274,-1.5483740266847275
2016-01-01,-0.3,1.4944740251573532,-1.7944740251573532
2016-02-01,-0.3,0.7369231588309644,-1.0369231588309644
2016-03-01,-0.4,0.7639758266339605,-1.1639758266339606
2016-04-01,-0.4,0.4631264704708967,-0.8631264704708967
2016-05-01,-0.4,0.5643568555583216,-0.9643568555583216
2016-06-01,-0.4,0.7220373123647197,-1.1220373123647196
2016-07-01,-0.4,1.0626088035660797,-1.4626088035660798
2016-08-01,-0.4,1.0676425743955797,-1.4676425743955797
2016-09-01,-0.4,1.2261704965196045,-1.6261704965196047
2016-10-01,-0.4,1.6869171131445186,-2.0869171131445188
2016-11-01,-0.4,1.6968412882128472,-2.0968412882128473
2016-12-01,-0.4,2.379974565373339,-2.779974565373339
2017-01-01,-0.4,3.658531077253623,-4.058531077253623
2017-02-01,-0.4,3.900263443225727,-4.300263443225727
2017-03-01,-0.4,3.2002782525952287,-3.6002782525952286
2017-04-01,-0.4,3.9640794897725065,-4.364079489772506
2017-05-01,-0.4,3.142880913316152,-3.542880913316152
2017-06-01,-0.4,2.9273683623666695,-3.3273683623666694
2017-07-01,-0.4,3.2651967573568568,-3.6651967573568567
2017-08-01,-0.4,3.4995270442488997,-3.8995270442488996
2017-09-01,-0.4,3.460159957766139,-3.8601599577661387
2017-10-01,-0.4,3.53056451703404,-3.93056451703404
2017-11-01,-0.4,3.686969516762386,-4.0869695167623865
2017-12-01,-0.4,3.368750998038774,-3.768750998038774
2018-01-01,-0.4,3.2558512785980307,-3.6558512785980306
2018-02-01,-0.4,2.949097356661344,-3.349097356661344
2018-03-01,-0.4,3.3076576729553526,-3.7076576729553525
2018-04-01,-0.4,3.281407859426737,-3.681407859426737
2018-05-01,-0.4,4.305503797346945,-4.705503797346945
2018-06-01,-0.4,4.307918912745388,-4.707918912745388
2018-07-01,-0.4,4.673031815914768,-5.073031815914768
2018-08-01,-0.4,4.469693943590129,-4.869693943590129
2018-09-01,-0.4,4.437406447398239,-4.837406447398239
2018-10-01,-0.4,4.994660151134628,-5.394660151134628
2018-11-01,-0.4,4.461452891277712,-4.861452891277712
2018-12-01,-0.4,3.841379324546748,-4.241379324546748
2019-01-01,-0.4,3.9928175904466454,-4.392817590446645
2019-02-01,-0.4,4.159521835054793,-4.5595218350547935
2019-03-01,-0.4,4.026306997672366,-4.426306997672366
2019-04-01,-0.4,4.694382201383588,-5.094382201383588
2019-05-01,-0.4,3.9642394418633895,-4.36423944186339
2019-06-01,-0.4,4.048590190882184,-4.448590190882184
2019-07-01,-0.4,3.7739210946868886,-4.1739210946868885
2019-08-01,-0.4,3.786751128917074,-4.1867511289170745
2019-09-01,-0.5,3.537411806864791,-4.037411806864791
2019-10-01,-0.5,3.3310135939419236,-3.8310135939419236
2019-11-01,-0.5,3.7030669820614763,-4.203066982061476
2019-12-01,-0.5,4.271685833204836,-4.771685833204836
2020-01-01,-0.5,2.651120997734094,-3.151120997734094
2020-02-01,-0.5,2.4420795923156784,-2.9420795923156784
2020-03-01,-0.5,1.718174802050384,-2.2181748020503838
2020-04-01,-0.5,-4.430956761504331,3.930956761504331
2020-05-01,-0.5,-4.795104043243329,4.295104043243329
2020-06-01,-0.5,-4.543069124251727,4.043069124251727
2020-07-01,-0.5,0.7075809356959752,-1.2075809356959752
2020-08-01,-0.5,-0.18035959205287488,-0.3196404079471251
2020-09-01,-0.5,-0.4497520740530774,-0.05024792594692262
2020-10-01,-0.5,-0.2696891061035642,-0.23031089389643578
2020-11-01,-0.5,-0.372939880089722,-0.127060119910278
2020-12-01,-0.5,-0.4253510965528411,-0.07464890344715891
2021-01-01,-0.5,1.6635976611709582,-2.163597661170958
2021-02-01,-0.5,1.6131190962594224,-2.1131190962594224
2021-03-01,-0.5,2.1214848038510525,-2.6214848038510525
2021-04-01,-0.5,3.5073470068380406,-4.007347006838041
2021-05-01,-0.5,3.9591710542724345,-4.459171054272435
2021-06-01,-0.5,3.7361018326820408,-4.23610183268204
2021-07-01,-0.5,4.899040083639745,-5.399040083639745
2021-08-01,-0.5,5.9629643236628995,-6.4629643236628995
2021-09-01,-0.5,6.474996362482535,-6.974996362482535
2021-10-01,-0.5,7.802555802508037,-8.302555802508037
2021-11-01,-0.5,8.928384279963685,-9.428384279963685
2021-12-01,-0.5,8.959499767278265,-9.459499767278265
2022-01-01,-0.5,9.42987217472229,-9.92987217472229
2022-02-01,-0.5,10.477020583407247,-10.977020583407247
2022-03-01,-0.5,12.717796991530752,-13.217796991530752
2022-04-01,-0.5,13.08976591590597,-13.58976591590597
2022-05-01,-0.5,13.893925388543542,-14.393925388543542
2022-06-01,-0.5,14.678502787571151,-15.178502787571151
2022-07-01,0.0,15.148411102281022,-15.148411102281022
2022-08-01,0.0,15.493647835564369,-15.493647835564369
2022-09-01,0.75,16.56817447894357,-15.818174478943568
2022-10-01,0.75,17.495173631667942,-16.745173631667942
2022-11-01,1.5,16.55270739327001,-15.052707393270008
2022-12-01,2.0,15.204734151406223,-13.204734151406223
2023-01-01,2.0,14.26868466262727,-12.26868466262727
2023-02-01,2.5,13.989892249584036,-11.489892249584036
2023-03-01,3.0,11.493763160428141,-8.493763160428141
2023-04-01,3.0,11.606168486686522,-8.606168486686522
2023-05-01,3.25,10.276420332497278,-7.026420332497278
2023-06-01,3.5,9.33347172759106,-5.833471727591061
2023-07-01,3.5,8.933230740239717,-5.433230740239717
2023-08-01,3.75,8.762268925773467,-5.012268925773467
2023-09-01,4.0,7.3688012433626815,-3.3688012433626815
2023-10-01,4.0,5.180002854423385,-1.1800028544233854
2023-11-01,4.0,4.3807460757750825,-0.38074607577508246
2023-12-01,4.0,5.127024939068926,-1.1270249390689262
2024-01-01,4.0,5.005112510746165,-1.005112510746165
2024-02-01,4.0,4.667653137357812,-0.6676531373578118
2024-03-01,4.0,4.3795311116598965,-0.3795311116598965
2024-04-01,4.0,4.3431087837997415,-0.3431087837997415
2024-05-01,4.0,4.59240062283577,-0.5924006228357701
2024-06-01,3.75,4.47330074789828,-0.7233007478982802
2024-07-01,3.75,4.75867666809211,-1.00867666809211
2024-08-01,3.75,4.08416777939071,-0.3341677793907101
2024-09-01,3.5,3.391064454208487,0.1089355457915131
2024-10-01,3.25,3.9363264712008137,-0.6863264712008137
2024-11-01,3.25,4.2502206281007675,-1.0002206281007675
2024-12-01,3.0,4.494700717905797,-1.494700717905797
2025-01-01,3.0,4.851542473779791,-1.8515424737797908
2025-02-01,2.75,4.503291601785899,-1.7532916017858993
2025-03-01,2.5,4.26295087722756,-1.76295087722756
2025-04-01,2.25,4.268899191694331,-2.018899191694331
2025-05-01,2.25,3.788582463231317,-1.5385824632313172
2025-06-01,2.0,3.8905345000704834,-1.8905345000704834
2025-07-01,2.0,4.071961915630286,-2.071961915630286
2025-08-01,2.0,4.03845626333526,-2.0384562633352603
2025-09-01,2.0,4.286413378752703,-2.2864133787527026
2025-10-01,2.0,4.128898882985169,-2.128898882985169
2025-11-01,2.0,4.140286636388288,-2.1402866363882884
2025-12-01,2.0,3.8262975747886747,-1.8262975747886747
2026-01-01,2.0,3.405770775565993,-1.4057707755659932
2026-02-01,2.0,,
2026-03-01,2.0,,
