date,eurostoxx50
2011-09-01,2305.75
2011-09-02,2220.72
2011-09-05,2107.27
2011-09-06,2080.1
2011-09-07,2151.16
2011-09-08,2163.4
2011-09-09,2073.67
2011-09-12,1995.01
2011-09-13,2036.64
2011-09-14,2083.38
2011-09-15,2155.62
2011-09-16,2159.28
2011-09-19,2096.1
2011-09-20,2140.41
2011-09-21,2098.49
2011-09-22,1995.75
2011-09-23,2026.03
2011-09-26,2083.35
2011-09-27,2194.03
2011-09-28,2176.64
2011-09-29,2212.44
2011-09-30,2179.66
2011-10-03,2138.24
2011-10-04,2091.09
2011-10-05,2179.42
2011-10-06,2248.78
2011-10-07,2269.19
2011-10-10,2320.8
2011-10-11,2315.97
2011-10-12,2372.15
2011-10-13,2332.52
2011-10-14,2355.48
2011-10-17,2315.89
2011-10-18,2306.81
2011-10-19,2330.08
2011-10-20,2271.77
2011-10-21,2337.51
2011-10-24,2369.07
2011-10-25,2343.96
2011-10-26,2335.06
2011-10-27,2476.92
2011-10-28,2462.36
2011-10-31,2385.22
2011-11-01,2259.73
2011-11-02,2291.89
2011-11-03,2347.94
2011-11-04,2291.47
2011-11-07,2275.92
2011-11-08,2303.2
2011-11-09,2249.39
2011-11-10,2254.92
2011-11-11,2324.81
2011-11-14,2288.32
2011-11-15,2254.0
2011-11-16,2267.96
2011-11-17,2242.78
2011-11-18,2236.68
2011-11-21,2160.28
2011-11-22,2136.81
2011-11-23,2096.79
2011-11-25,2111.26
2011-11-28,2221.76
2011-11-29,2234.17
2011-11-30,2330.43
2011-12-01,2313.84
2011-12-02,2342.5
2011-12-05,2369.39
2011-12-06,2356.71
2011-12-07,2344.92
2011-12-08,2288.05
2011-12-09,2342.59
2011-12-12,2269.46
2011-12-13,2260.98
2011-12-14,2205.91
2011-12-15,2224.89
2011-12-16,2202.72
2011-12-19,2202.95
2011-12-20,2262.39
2011-12-21,2244.35
2011-12-22,2273.02
2011-12-23,2290.37
2011-12-27,2290.31
2011-12-28,2255.03
2011-12-29,2292.28
2011-12-30,2316.55
2012-01-03,2389.91
2012-01-04,2349.89
2012-01-05,2315.75
2012-01-06,2298.65
2012-01-09,2286.45
2012-01-10,2347.47
2012-01-11,2339.51
2012-01-12,2345.85
2012-01-13,2338.01
2012-01-16,2361.56
2012-01-17,2396.63
2012-01-18,2390.64
2012-01-19,2435.04
2012-01-20,2426.96
2012-01-23,2441.44
2012-01-24,2432.07
2012-01-25,2421.12
2012-01-26,2460.4
2012-01-27,2436.62
2012-01-30,2404.62
2012-01-31,2416.66
2012-02-01,2470.79
2012-02-02,2478.15
2012-02-03,2515.15
2012-02-06,2507.89
2012-02-07,2514.12
2012-02-08,2512.92
2012-02-09,2522.34
2012-02-10,2480.76
2012-02-13,2491.54
2012-02-14,2488.29
2012-02-15,2493.96
2012-02-16,2489.35
2012-02-17,2520.31
2012-02-21,2541.6
2012-02-22,2519.0
2012-02-23,2508.08
2012-02-24,2523.69
2012-02-27,2513.06
2012-02-28,2519.72
2012-02-29,2512.11
2012-03-01,2548.66
2012-03-02,2546.16
2012-03-05,2529.86
2012-03-06,2443.52
2012-03-07,2460.77
2012-03-08,2514.22
2012-03-09,2515.95
2012-03-12,2514.97
2012-03-13,2556.82
2012-03-14,2574.79
2012-03-15,2593.97
2012-03-16,2608.3
2012-03-19,2608.42
2012-03-20,2576.61
2012-03-21,2567.58
2012-03-22,2530.22
2012-03-23,2525.43
2012-03-26,2539.87
2012-03-27,2525.21
2012-03-28,2496.68
2012-03-29,2452.74
2012-03-30,2477.28
2012-04-02,2501.18
2012-04-03,2458.98
2012-04-04,2398.46
2012-04-05,2392.54
2012-04-10,2321.53
2012-04-11,2341.36
2012-04-12,2352.24
2012-04-13,2291.51
2012-04-16,2301.19
2012-04-17,2367.05
2012-04-18,2327.84
2012-04-19,2284.67
2012-04-20,2311.27
2012-04-23,2244.83
2012-04-24,2284.08
2012-04-25,2322.91
2012-04-26,2322.69
2012-04-27,2344.02
2012-04-30,2306.43
2012-05-02,2290.31
2012-05-03,2287.1
2012-05-04,2248.34
2012-05-07,2283.09
2012-05-08,2236.11
2012-05-09,2225.63
2012-05-10,2247.38
2012-05-11,2254.54
2012-05-14,2201.95
2012-05-15,2178.67
2012-05-16,2175.34
2012-05-18,2144.69
2012-05-21,2150.16
2012-05-22,2192.85
2012-05-23,2134.05
2012-05-24,2156.52
2012-05-25,2161.87
2012-05-29,2160.31
2012-05-30,2116.18
2012-05-31,2118.94
2012-06-01,2068.66
2012-06-04,2078.96
2012-06-05,2087.31
2012-06-06,2137.73
2012-06-07,2143.08
2012-06-08,2143.9
2012-06-11,2137.7
2012-06-12,2143.38
2012-06-13,2143.5
2012-06-14,2148.21
2012-06-15,2181.23
2012-06-18,2155.64
2012-06-19,2198.01
2012-06-20,2207.49
2012-06-21,2199.42
2012-06-22,2186.81
2012-06-25,2130.71
2012-06-26,2127.95
2012-06-27,2165.61
2012-06-28,2157.62
2012-06-29,2264.72
2012-07-02,2292.08
2012-07-03,2320.43
2012-07-04,2312.41
